"organisms","All_environments","C","M","Environment_H2S"
"Acetobacter orleanensis","mesophile---Bacteria-aerobe",0.011970734,0.026368349,"Non-H2S-rich"
"Belnapia moabensis","mesophile--neutrophile-Bacteria-aerobe",0.010261845,0.024536056,"Non-H2S-rich"
"Gluconacetobacter liquefaciens","mesophile---Bacteria-obligate aerobe",0.0110533,0.026678644,"Non-H2S-rich"
"Komagataeibacter kakiaceti","psychrophiles--neutrophile-Bacteria-aerobe",0.018399136,0.02972791,"Non-H2S-rich"
"Kozakia baliensis","mesophile--acidophile-Bacteria-obligate aerobe",0.011110424,0.02537721,"Non-H2S-rich"
"Rhodopila globiformis","mesophile---Bacteria-anaerobe",0.010999707,0.025500636,"Non-H2S-rich"
"Saccharibacter floricola","mesophile--neutrophile-Bacteria-aerobe",0.011670711,0.026132499,"Non-H2S-rich"
"Acidisphaera rubrifaciens","mesophile--acidophile-Bacteria-aerobe",0.009978883,0.023560569,"Non-H2S-rich"
"Roseomonas stagni","mesophile---Bacteria-aerobe",0.008946187,0.025878041,"Non-H2S-rich"
"Granulibacter bethesdensis","mesophile--neutrophile-Bacteria-obligate aerobe",0.01060685,0.026321617,"Non-H2S-rich"
"Acidaminococcus fermentans","mesophile---Bacteria-anaerobe",0.014894837,0.02937058,"Non-H2S-rich"
"Succinispira mobilis","mesophile-nonhalophile-neutrophile-Bacteria-obligate anaerobe",0.0137058,0.025263769,"Non-H2S-rich"
"Terriglobus saanensis","mesophile--neutrophile-Bacteria-aerobe",0.009333277,0.024697743,"Non-H2S-rich"
"Granulicella rosea","psychrophiles--acidophile-Bacteria-obligate aerobe",0.009695654,0.02408985,"Non-H2S-rich"
"Bryocella elongata","psychrophiles--acidophile-Bacteria-aerobe",0.009463235,0.024884665,"Non-H2S-rich"
"Schaalia vaccimaxillae","mesophile---Bacteria-anaerobe",0.008717991,0.024222642,"Non-H2S-rich"
"Actinomyces oricola","mesophile---Bacteria-anaerobe",0.008679743,0.020559321,"Non-H2S-rich"
"Trueperella bialowiezensis","mesophile--neutrophile-Bacteria-obligate aerobe",0.007025479,0.022936037,"Non-H2S-rich"
"Aeromonas salmonicida subsp. pectinolytica","mesophile---Bacteria-aerobe",0.013206295,0.027272758,"Non-H2S-rich"
"Oceanimonas baumannii","mesophile---Bacteria-obligate aerobe",0.012355787,0.027107034,"Non-H2S-rich"
"Tolumonas auensis","mesophile---Bacteria-anaerobe",0.013055484,0.026838629,"Non-H2S-rich"
"Alcaligenes faecalis subsp. phenolicus","mesophile---Bacteria-aerobe",0.011487366,0.025806709,"Non-H2S-rich"
"Brackiella oedipodis","mesophile---Bacteria-obligate aerobe",0.011858435,0.024652168,"Non-H2S-rich"
"Castellaniella caeni","mesophile--neutrophile-Bacteria-aerobe",0.011079748,0.023913966,"Non-H2S-rich"
"Pusillimonas noertemannii","mesophile---Bacteria-obligate aerobe",0.010574122,0.026517254,"Non-H2S-rich"
"Bordetella petrii","mesophile---Bacteria-obligate aerobe",0.010877552,0.024799786,"Non-H2S-rich"
