organisms,Organism Groups,Assembly,Size(Mb),GC%
Pseudomonas fluorescens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_010448615.1,6.41844,60.6
Xanthomonas campestris pv. raphani,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013388375.1,4.94204,65.3
Yersinia pestis A1122,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000222975.1,4.65841,47.6472
Staphylococcus epidermidis,Bacteria;Terrabacteria group;Firmicutes,GCA_006094375.1,2.49106,32.1745
Lactococcus lactis subsp. lactis,Bacteria;Terrabacteria group;Firmicutes,GCA_002866835.1,2.51141,35.1
Bacillus cereus,Bacteria;Terrabacteria group;Firmicutes,GCA_013267775.1,5.62445,35.3175
Clostridium perfringens ATCC 13124,Bacteria;Terrabacteria group;Firmicutes,GCA_000013285.1,3.25668,28.4
Mycobacterium avium subsp. hominissuis TH135,Bacteria;Terrabacteria group;Actinobacteria,GCA_000829075.1,5.14593,69.1941
Tropheryma whipplei str. Neuro14,Bacteria;Terrabacteria group;Actinobacteria,GCA_000376505.2,0.885853,46.4
Actinobacillus pleuropneumoniae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003290385.1,2.31866,41.2
Prochlorococcus marinus subsp. marinus str. CCMP1375,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000007925.1,1.75108,36.4
Haemophilus influenzae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000767075.1,1.8509,38.2
Helicobacter pylori Puno135,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000224555.1,1.64614,38.8
Buchnera aphidicola str. Bp (Baizongia pistaciae),Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000007725.1,0.618379,25.3004
Chlamydia pneumoniae TW-183,Bacteria;PVC group;Chlamydiae,GCA_000007205.1,1.22593,40.6
Neisseria meningitidis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001064635.1,2.15439,49.8
Xylella fastidiosa Temecula1,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000007245.1,2.52115,51.8011
Pseudomonas putida NBRC 14164,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000412675.1,6.1567,62.3
Streptococcus pyogenes,Bacteria;Terrabacteria group;Firmicutes,GCA_001267845.1,1.7914,38.6
Streptococcus pneumoniae,Bacteria;Terrabacteria group;Firmicutes,GCA_900042815.1,2.06342,40
Agrobacterium tumefaciens,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_007002865.1,5.62042,59.8
Xanthomonas axonopodis pv. vasculorum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013177355.1,4.88678,64.0887
Leptospira interrogans serovar Copenhageni str. Fiocruz LV239,Bacteria;Spirochaetes;Spirochaetia,GCA_000217315.2,4.54899,35
Fusobacterium nucleatum subsp. polymorphum,Bacteria;Fusobacteria;Fusobacteriia,GCA_001457555.1,2.45506,26.9878
Bacillus anthracis str. 'Ames Ancestor',Bacteria;Terrabacteria group;Firmicutes,GCA_000008445.1,5.50393,35.2629
Bifidobacterium longum,Bacteria;Terrabacteria group;Actinobacteria,GCA_004936435.1,2.36587,60.2
Histophilus somni,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002162215.1,2.1835,37.4
Pseudomonas syringae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900113625.1,6.07652,59
Streptococcus agalactiae,Bacteria;Terrabacteria group;Firmicutes,GCA_002214425.1,2.12137,35.6
