LUCA_Pfams,Freq,ancestor,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,U,O,concat_length
PF02080,1,LUCA,0.073018188,0.074886903,0.030408658,0.067444234,0.005706191,0.07541005,0.027807711,0.082712652,0.016301662,0.081102031,0.105081256,0.047054542,0.016162756,0.0286977,0.044534213,0.052018641,0.054822292,0.004480681,0.013590518,0.09875912,0,0,3448360
PF00004,1,LUCA,0.095908015,0.067168046,0.032054192,0.060398605,0.006165724,0.073948638,0.02569274,0.094628675,0.012936831,0.074593435,0.103185936,0.051203469,0.022588152,0.042032429,0.041525679,0.049914515,0.050546943,0.00331685,0.016788951,0.075402171,0,0,15603357
PF00005,6,preLUCA,0.08251391,0.068995211,0.033324723,0.055117787,0.006878659,0.065973124,0.039874991,0.096770531,0.016487938,0.059600488,0.124609477,0.047827578,0.023246911,0.032686387,0.045661851,0.058935597,0.049952175,0.004898799,0.018068681,0.068575179,0,0,128861595
PF00009,2,preLUCA,0.090150809,0.047271538,0.034323707,0.075399597,0.00882842,0.075259692,0.032931198,0.074456413,0.028270082,0.078470734,0.086018919,0.054122731,0.025952534,0.031008082,0.037211513,0.042425709,0.063373628,0.006687295,0.022370915,0.085466483,0,0,21714758
PF00011,1,LUCA,0.069255266,0.070641135,0.034182586,0.072678453,0.003414151,0.110040652,0.028682237,0.05814572,0.017249431,0.071332427,0.078437574,0.080126987,0.011246736,0.029719791,0.044385607,0.053017511,0.053721946,0.002291572,0.026456385,0.084973833,0,0,2434573
PF00037,1,LUCA,0.083472576,0.025050592,0.032328191,0.062713989,0.188817221,0.06979659,0.018039651,0.069604349,0.011247134,0.093575222,0.036344581,0.049601634,0.009481135,0.0153531,0.060903891,0.032434302,0.036636044,0.002479841,0.021460026,0.080659931,0,0,1451303
PF00082,1,LUCA,0.119476601,0.031890903,0.055980973,0.073487488,0.008424581,0.03546611,0.025404249,0.117540483,0.020483669,0.054950411,0.06129036,0.029794516,0.016169128,0.026597265,0.049029033,0.082736172,0.064502982,0.012567173,0.033968077,0.080239827,0,0,13271402
PF00085,2,preLUCA,0.086747396,0.034896159,0.035807117,0.06770299,0.022714959,0.076128372,0.043581516,0.059380297,0.009513839,0.063691379,0.082363595,0.068485703,0.021264767,0.047654461,0.053161104,0.043793399,0.046303008,0.01838715,0.019774149,0.09864864,4.41E-06,0,4304256
PF00091,1,LUCA,0.111689344,0.049363182,0.043631865,0.049512013,0.008909608,0.06857325,0.030134914,0.136790128,0.011335819,0.077609673,0.08398886,0.051614142,0.024030492,0.026205715,0.026041619,0.039428195,0.06050056,0.001485082,0.008740816,0.090414722,0,0,3406547
PF00120,1,LUCA,0.099293626,0.05521111,0.043756863,0.059390328,0.010114419,0.075176111,0.028152205,0.076601247,0.031704967,0.047632435,0.086768581,0.048463878,0.026411925,0.046852301,0.057384852,0.05320959,0.044752987,0.011465374,0.041533172,0.056124027,0,0,8088354
PF00121,1,LUCA,0.127750078,0.034155331,0.036072916,0.04850323,0.014772843,0.077691198,0.03471349,0.088075675,0.021029428,0.071832023,0.083983753,0.056038618,0.015447347,0.025815451,0.037391906,0.05858382,0.048622552,0.008911435,0.022166335,0.088442572,0,0,4031113
