"PFAM_IDs","robust_classifications"
"Domain1","LBCA"
"Domain2","LBCA"
"PF00004","LUCA"
"PF00005","preLUCA"
"PF00006","LBCA"
"PF00009","preLUCA"
"PF00011","LUCA"
"PF00012","LBCA"
"PF00013","LUCA"
"PF00015","LBCA"
"PF00016","LUCA"
"PF00023","LBCA"
"PF00024","Proteobacteria"
"PF00025","unclassifiable"
"PF00027","LBCA"
"PF00028","LBCA"
"PF00030","unclassifiable"
"PF00032","LBCA"
"PF00033","LBCA"
"PF00034","LBCA"
"PF00035","LBCA"
"PF00036","LBCA"
"PF00037","LUCA"
"PF00041","LUCA"
"PF00042","LBCA"
"PF00043","unclassifiable"
"PF00044","LBCA"
"PF00045","LBCA"
"PF00050","LBCA"
"PF00056","unclassifiable"
"PF00059","LBCA"
"PF00060","LBCA"
"PF00067","LUCA"
"PF00069","LUCA"
"PF00070","unclassifiable"
"PF00071","LACA"
"PF00072","preLUCA"
"PF00075","post-LBCA"
"PF00076","LBCA"
"PF00078","LBCA"
"PF00079","LBCA"
"PF00080","LBCA"
"PF00081","LUCA"
"PF00082","LUCA"
"PF00083","LUCA"
"PF00085","LUCA"
"PF00089","LBCA"
"PF00091","LACA"
"PF00092","LUCA"
"PF00096","unclassifiable"
"PF00101","post-LBCA"
"PF00102","unclassifiable"
"PF00106","LUCA"
"PF00107","preLUCA"
"PF00108","LUCA"
"PF00109","LBCA"
"PF00111","LUCA"
"PF00112","LUCA"
"PF00113","LACA"
"PF00114","Proteobacteria"
"PF00115","LBCA"
"PF00116","unclassifiable"
"PF00117","preLUCA"
"PF00118","post-LBCA"
"PF00119","post-LBCA"
"PF00120","LBCA"
"PF00121","LACA"
"PF00122","LUCA"
"PF00124","post-LBCA"
"PF00126","LBCA"
"PF00127","LUCA"
"PF00128","LUCA"
"PF00132","LUCA"
"PF00133","preLUCA"
"PF00135","post-LBCA"
"PF00136","LUCA"
"PF00137","LBCA"
"PF00140","LBCA"
"PF00141","unclassifiable"
"PF00142","unclassifiable"
"PF00144","LUCA"
"PF00145","LUCA"
"PF00146","LUCA"
"PF00148","LBCA"
"PF00149","preLUCA"
"PF00150","LUCA"
"PF00152","LUCA"
"PF00154","unclassifiable"
"PF00155","preLUCA"
"PF00156","LUCA"
"PF00158","LBCA"
"PF00160","post-LBCA"
"PF00162","LACA"
"PF00163","Inspect"
"PF00164","LACA"
"PF00165","LBCA"
"PF00166","LBCA"
"PF00171","LUCA"
"PF00173","LBCA"
"PF00174","LUCA"
"PF00175","LUCA"
"PF00176","LUCA"
"PF00177","Inspect"
"PF00180","LUCA"
"PF00181","Euryarchaeota"
"PF00182","LBCA"
"PF00183","LBCA"
"PF00185","LUCA"
"PF00186","LBCA"
"PF00188","LUCA"
"PF00189","TACK"
"PF00190","LBCA"
"PF00194","LBCA"
"PF00195","LBCA"
"PF00196","LBCA"
"PF00198","LUCA"
"PF00199","LBCA"
"PF00201","LBCA"
"PF00202","preLUCA"
"PF00203","Inspect"
"PF00204","unclassifiable"
"PF00205","LUCA"
"PF00206","LUCA"
"PF00207","LBCA"
"PF00208","preLUCA"
"PF00209","LBCA"
"PF00210","LUCA"
"PF00211","LUCA"
"PF00213","LBCA"
"PF00215","LUCA"
"PF00216","LBCA"
"PF00217","post-LBCA"
"PF00218","LBCA"
"PF00221","LBCA"
"PF00223","Terrabacteria"
"PF00224","LUCA"
"PF00226","LUCA"
"PF00227","LBCA"
"PF00230","LUCA"
"PF00231","LBCA"
"PF00232","LBCA"
"PF00237","LACA"
"PF00238","LACA"
"PF00239","unclassifiable"
"PF00245","LBCA"
"PF00246","LUCA"
"PF00248","LUCA"
"PF00251","LBCA"
"PF00252","LACA"
"PF00253","Inspect"
"PF00254","LBCA"
"PF00255","post-LBCA"
"PF00258","LBCA"
"PF00263","LBCA"
"PF00264","LBCA"
"PF00265","LBCA"
"PF00266","preLUCA"
"PF00267","Proteobacteria"
"PF00268","LBCA"
"PF00269","Terrabacteria"
"PF00270","LUCA"
"PF00271","preLUCA"
"PF00274","LBCA"
"PF00275","LBCA"
"PF00276","LBCA"
"PF00278","LUCA"
"PF00281","CPR"
"PF00282","LUCA"
"PF00283","Terrabacteria"
"PF00284","Terrabacteria"
"PF00285","Inspect"
"PF00288","LUCA"
"PF00289","unclassifiable"
"PF00290","LUCA"
"PF00291","LUCA"
"PF00293","LUCA"
"PF00294","LUCA"
"PF00295","LBCA"
"PF00296","LBCA"
"PF00297","LACA"
"PF00298","LBCA"
"PF00300","LUCA"
"PF00301","LBCA"
"PF00302","LBCA"
"PF00303","LBCA"
"PF00305","post-LBCA"
"PF00306","CPR"
"PF00308","LBCA"
"PF00309","post-LBCA"
"PF00310","unclassifiable"
"PF00311","LBCA"
"PF00312","Inspect"
"PF00313","unclassifiable"
"PF00314","post-LBCA"
"PF00316","LBCA"
"PF00317","LBCA"
"PF00318","LACA"
"PF00324","LUCA"
"PF00325","LBCA"
"PF00326","LUCA"
"PF00327","Inspect"
"PF00328","post-LBCA"
"PF00329","unclassifiable"
"PF00330","LUCA"
"PF00331","LBCA"
"PF00332","post-LBCA"
"PF00333","Inspect"
"PF00334","Terrabacteria"
"PF00338","LACA"
"PF00342","LBCA"
"PF00343","unclassifiable"
"PF00344","Inspect"
"PF00345","post-LBCA"
"PF00346","LUCA"
"PF00347","LUCA"
"PF00348","LBCA"
"PF00349","unclassifiable"
