Clans,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,U,O,Clan_ancestor,Clans_copies,Clans_clustering,Clans_transfer,Clans_GC,median_ClanLen,mean_ClanLen
CL0192,0.097720281,0.039784478,0.027746991,0.025581283,0.008667224,0.031219916,0.021570316,0.072186459,0.01665448,0.081263929,0.144723632,0.029788006,0.02509331,0.073954917,0.036835099,0.062923577,0.052046801,0.023357544,0.044334096,0.084547662,0,0,LUCA,1,1.025843857,0.15720232,0.437958421,199,195.465985
CL0023,0.08536929,0.065716839,0.035634204,0.061636343,0.009301604,0.071198995,0.037838031,0.071271478,0.021820122,0.063453351,0.105671565,0.053962629,0.020064569,0.039100685,0.04114657,0.056750587,0.052788948,0.009782826,0.028334303,0.069157059,0,7.5529E-10,preLUCA,51,0.9035155,0.165694033,0.472154664,153,170.499281
CL0190,0.06963931,0.070934923,0.034419347,0.073750035,0.004982824,0.099771044,0.025192209,0.060012173,0.016283457,0.068351689,0.090359613,0.07658938,0.010220039,0.027057891,0.045040108,0.050886277,0.052788231,0.002456021,0.027037797,0.094227631,0,0,LUCA,1,0.888918999,0.0969417,0.46714515,96,91.14895294
CL0108,0.103705703,0.052320897,0.034342534,0.057520556,0.011038404,0.06607254,0.029897805,0.091178031,0.020808888,0.0690812,0.098091446,0.048233623,0.021563123,0.033522048,0.041845799,0.055959105,0.054142902,0.007446421,0.024947936,0.078281039,0,0,preLUCA,5,0.785011468,0.13813774,0.495395133,248,256.012839
CL0007,0.063383308,0.067153753,0.040495606,0.057070629,0.005662501,0.086309986,0.02997587,0.069232018,0.013108297,0.108320586,0.077451676,0.082380603,0.018982346,0.02395098,0.03811204,0.057053278,0.044974259,0.007991112,0.018075722,0.090315428,0,0,preLUCA,2,0.760122161,0.050213338,0.445141783,67,64.27449927
PF00015,0.157204553,0.04724019,0.047550225,0.046691786,0.001024261,0.100161236,0.070200714,0.061557262,0.01112706,0.083801703,0.059192349,0.035857944,0.021260852,0.012153374,0.000458747,0.08718198,0.067329438,0.000113611,0.002196354,0.08769636,0,0,postLUCA,1,0.835133849,0.1887215,0.499725839,158,159.8264681
CL0036,0.100469982,0.056384675,0.03803753,0.065271062,0.010972824,0.065691161,0.032992554,0.079719956,0.025319869,0.057656866,0.089543182,0.046741526,0.023472885,0.038159286,0.047376189,0.051395927,0.050303967,0.017090694,0.034719516,0.068680349,0,2.20357E-06,preLUCA,46,0.838453629,0.160586005,0.493540197,241,245.8342781
CL0465,0.139778383,0.042696166,0.065786172,0.070081549,0.009427978,0.051122426,0.026713001,0.078729558,0.033297707,0.048217515,0.133249606,0.050446271,0.019652167,0.017959958,0.033344243,0.035608931,0.050582692,0.00809384,0.022178831,0.063033007,0,0,postLUCA,5,1.130209109,0.4573129,0.505553827,72,68.64224582
CL0168,0.102718091,0.059468595,0.04739902,0.094763107,0.079139686,0.038463669,0.03769216,0.061562802,0.005253935,0.020717383,0.064212699,0.055348532,0.008346742,0.058081249,0.039407176,0.064978736,0.06777035,0.016489926,0.039032702,0.03915344,0,0,modern,NA,0.834202216,0.1677195,0.50633797,51,50.32718894
CL0029,0.07843023,0.059576812,0.033704605,0.061946999,0.011126777,0.068085617,0.035479942,0.081198867,0.036171746,0.050854229,0.090145445,0.039800145,0.019802012,0.046686411,0.058790084,0.053598618,0.050826645,0.017893046,0.034024811,0.071856959,0,0,preLUCA,9,0.942264812,0.220268184,0.496467557,91,112.0990868
CL0159,0.083727401,0.040605536,0.050933429,0.064517934,0.005247363,0.055561249,0.034378877,0.078410277,0.014178994,0.053351336,0.071703328,0.047485975,0.012348978,0.036160665,0.050909088,0.07079986,0.091919403,0.013983646,0.035511712,0.088264951,0,0,preLUCA,10,0.861818369,0.24946542,0.484602241,83,88.2160582
CL0333,0.069127081,0.062540879,0.062428262,0.074100039,0.030672126,0.038818635,0.027470599,0.104040669,0.018033473,0.041582815,0.05229955,0.028246678,0.009511911,0.053545094,0.03389171,0.09177992,0.049459427,0.026342152,0.058233081,0.067875899,0,0,modern,NA,0.757010115,0.31997775,0.489217455,70,69.08434959
PF00032,0.094178599,0.037876836,0.019323076,0.02845732,0.005153311,0.02154084,0.015697353,0.070359259,0.010083925,0.076090477,0.126765929,0.033559097,0.026142011,0.083978724,0.08565171,0.043679832,0.048689587,0.036640041,0.049190194,0.086941878,0,0,postLUCA,1,1.22626857,0.07944545,0.471622576,95,95.41088674
CL0328,0.105237763,0.043406057,0.019939877,0.020893988,0.006995365,0.021293179,0.020275524,0.089957627,0.03071374,0.068717829,0.150304075,0.022407904,0.029972555,0.065389747,0.040776415,0.049110188,0.052526039,0.03559951,0.033252235,0.093230382,0,0,preLUCA,4,1.189664449,0.132037833,0.482695149,178,178.8887384
CL0318,0.09099837,0.055512751,0.040952437,0.060520932,0.019306764,0.064533254,0.040316311,0.07638148,0.028184457,0.045213153,0.085846688,0.05234713,0.023605437,0.037213024,0.057553317,0.059099714,0.055829955,0.017360424,0.033721195,0.055503208,0,0,postLUCA,7,0.931934314,0.183014658,0.500586906,81,95.76725079
CL0196,0.101429288,0.068444692,0.03172306,0.051774885,0.010260192,0.069560711,0.044823249,0.093507695,0.014419945,0.048960203,0.069435843,0.085123496,0.013928522,0.033256627,0.032971661,0.048912748,0.045746321,0.016850541,0.025902345,0.092967976,0,0,postLUCA,2,0.96470842,0.088927167,0.500887355,65,64.80798935
CL0220,0.083416879,0.04917341,0.048866623,0.109185923,0.002822779,0.07022111,0.03533975,0.095050413,0.016543098,0.04209933,0.070343501,0.05116319,0.01612077,0.049095188,0.030569408,0.057537395,0.065118398,0.014296228,0.02871435,0.064322256,0,0,postLUCA,6,0.830646452,0.312166833,0.471649718,20,32.53271202
CL0344,0.077095303,0.058393962,0.037609652,0.063782042,0.096846228,0.065136961,0.031457665,0.075451177,0.020183446,0.056806953,0.062541235,0.050501868,0.017876902,0.030830646,0.054459415,0.04339854,0.047935848,0.012873592,0.028956861,0.067861703,8.27646E-08,0,preLUCA,16,0.862673682,0.1660789,0.50321981,55,58.72092155
CL0090,0.102432213,0.070860705,0.031756977,0.061435595,0.005689957,0.074683799,0.04168555,0.059320544,0.026518234,0.053974988,0.106534861,0.038064637,0.025435815,0.041258289,0.037104384,0.053169664,0.049893967,0.018210389,0.037713277,0.064256156,0,0,postLUCA,5,0.822219292,0.194847807,0.479082166,117,141.7212847
CL0497,0.118212264,0.065757303,0.032546333,0.067340521,0.009643349,0.059351834,0.036069953,0.048886947,0.022555679,0.049416184,0.118090047,0.041698733,0.021266215,0.051280192,0.048468362,0.050908569,0.044025505,0.019306114,0.040800144,0.05437575,0,0,postLUCA,2,0.736688607,0.2628197,0.479888248,70,71.22391051
CL0063,0.101186488,0.059923677,0.035035711,0.061168738,0.011519378,0.063661769,0.031196122,0.082426555,0.023568482,0.060739735,0.097858999,0.047058187,0.01991491,0.038363441,0.045588032,0.052651392,0.050222347,0.011552842,0.028850326,0.077512869,2.39782E-05,1.44652E-09,preLUCA,77,0.841875371,0.174174588,0.4936941,174,190.7972395
PF00045,0.079304805,0.048147607,0.049705467,0.093909741,0.002142057,0.031546663,0.023952096,0.098680687,0.010612921,0.055450075,0.057738182,0.056277689,0.005793291,0.060026289,0.058857894,0.050094932,0.03899518,0.031205881,0.084319167,0.063239375,0,0,postLUCA,1,0.80328372,0.24367575,0.452955579,44,43.42706131
CL0005,0.086254547,0.050973743,0.05908236,0.054812195,0.131985529,0.061647297,0.031376588,0.090619065,0.007556876,0.025607073,0.02195739,0.032423172,0.021145398,0.022916389,0.064878223,0.037636841,0.070499839,0.003299119,0.056661341,0.068667016,0,0,postLUCA,1,0.878814131,0.1726534,0.537068117,28,29.41714286
CL0056,0.089271237,0.054365408,0.054748931,0.064304507,0.012979968,0.069419032,0.032435725,0.098926513,0.019695021,0.030229021,0.055396362,0.035827935,0.017133,0.04097083,0.054272107,0.063978318,0.059087464,0.045417364,0.045834681,0.055706575,0,0,postLUCA,2,0.992495118,0.23422375,0.515201755,230,217.7183803
CL0030,0.095723677,0.035262085,0.031687924,0.023082588,0.006667181,0.032343942,0.022561226,0.094502958,0.013318456,0.079984334,0.12852163,0.024655346,0.034782861,0.069023727,0.037451978,0.065994479,0.071478175,0.017990474,0.028414675,0.086552286,0,0,preLUCA,2,1.17701868,0.15405831,0.457303843,212,247.7452538
PF00067,0.104264041,0.08751455,0.024950947,0.066965252,0.008778631,0.070606695,0.030659585,0.070370919,0.030490726,0.045895476,0.114411398,0.02306256,0.023838576,0.043996594,0.058472415,0.041669909,0.055912543,0.011843172,0.020221256,0.066074756,0,0,LUCA,1,0.913042722,0.3396335,0.506671948,170,209.9212393
CL0016,0.092495547,0.069845904,0.035313511,0.068196953,0.009183956,0.067465673,0.035635466,0.06638994,0.029003085,0.050389144,0.108414312,0.044508602,0.01970657,0.043848437,0.048506059,0.050426644,0.043974981,0.015821078,0.03577385,0.06510029,0,0,preLUCA,2,0.839947327,0.19873745,0.480571976,235,222.1490751
CL0304,0.08690961,0.05688693,0.033525727,0.071051398,0.020425696,0.073477672,0.032835907,0.065369516,0.021403294,0.066789297,0.110281,0.0368714,0.022321282,0.037861241,0.048448422,0.053897997,0.04215411,0.010861069,0.02959763,0.0790308,0,0,preLUCA,2,0.93445426,0.140192738,0.474955829,110,109.7089338
CL0219,0.081435213,0.072776954,0.03834071,0.060015334,0.012337591,0.065194087,0.033311396,0.066939184,0.027598859,0.061326749,0.094617459,0.063972197,0.018609483,0.039629201,0.039961258,0.053834258,0.050179446,0.016295675,0.035806658,0.067818289,0,0,preLUCA,11,0.887145769,0.195705822,0.462957951,148,148.7071903
CL0221,0.074294416,0.060999463,0.038235029,0.067092348,0.008314788,0.072623448,0.030816128,0.086600762,0.021837126,0.073592718,0.083605505,0.062391877,0.019128223,0.047036472,0.033206448,0.053892996,0.053927015,0.008094049,0.028312216,0.075998974,0,0,LUCA,3,0.791318813,0.105091213,0.45663725,71,75.50335021
CL0027,0.064222633,0.073422566,0.038467138,0.062857815,0.013722666,0.054332462,0.035207232,0.063830751,0.027243042,0.07238996,0.104316127,0.074902918,0.017008386,0.050560485,0.041457042,0.055206369,0.042610684,0.011343438,0.035631278,0.061267008,0,0,postLUCA,1,0.897997069,0.50936,0.421186122,206,184.6125
PF00079,0.107080906,0.047644361,0.044443161,0.062634135,0.004272478,0.069544648,0.033545363,0.065896706,0.014565595,0.045808657,0.093943081,0.049002637,0.028355935,0.055673985,0.049877169,0.059941048,0.064264067,0.012551195,0.027651978,0.063302895,0,0,postLUCA,1,0.925609422,0.1572585,0.477989821,363,316.6716205
PF00080,0.097976108,0.026121242,0.042469217,0.076398298,0.017036373,0.048066198,0.024540918,0.148851771,0.060918304,0.048361511,0.059463687,0.04490555,0.014318695,0.029279895,0.055143736,0.053505546,0.064617699,0.006959811,0.013035679,0.068029763,0,0,postLUCA,1,1.075469725,0.144786,0.556642537,132,130.515625
PF00081,0.095304025,0.020248293,0.076061165,0.050210837,0.002546734,0.074480864,0.025136619,0.058498449,0.078238175,0.050759964,0.105295179,0.054660797,0.020923002,0.034615307,0.046365385,0.049201503,0.051061048,0.017367714,0.050097735,0.038927205,0,0,LUCA,1,0.742576323,0.135893,0.432338942,83,83.16293702
PF00082,0.119476601,0.031890903,0.055980973,0.073487488,0.008424581,0.03546611,0.025404249,0.117540483,0.020483669,0.054950411,0.06129036,0.029794516,0.016169128,0.026597265,0.049029033,0.082736172,0.064502982,0.012567173,0.033968077,0.080239827,0,0,LUCA,1,0.958515109,0.27758,0.530801194,260,260.5582295
CL0015,0.112537258,0.037704791,0.023222631,0.023341513,0.008483591,0.024442448,0.024407696,0.094420931,0.010772085,0.075249132,0.137749483,0.02763161,0.032831626,0.074150551,0.037554487,0.064997186,0.052514671,0.022921874,0.032976832,0.082089601,0,0,preLUCA,2,1.047820401,0.204333713,0.474416069,332,305.0072408
CL0172,0.08544279,0.052438082,0.03634876,0.063956923,0.017268108,0.070217773,0.041973448,0.066017825,0.020114186,0.055821801,0.08992172,0.053925581,0.019404861,0.04250448,0.052439826,0.054198253,0.049929356,0.017127254,0.036305078,0.074643896,8.02331E-06,0,preLUCA,5,0.918211335,0.166283388,0.47496872,107,109.7958739
CL0124,0.085610509,0.045427059,0.048088938,0.064810982,0.007711468,0.057154914,0.035708168,0.094425041,0.01642691,0.05958287,0.077572155,0.059967334,0.020890522,0.037252819,0.044667254,0.062048325,0.059308701,0.011409119,0.040447229,0.071489683,0,0,LUCA,1,0.821442797,0.150990113,0.488356553,141,176.2188557
CL0128,0.100255664,0.076367011,0.032010534,0.072506238,0.007646116,0.062531657,0.033131386,0.07879454,0.018343458,0.056681508,0.094685886,0.040549625,0.022434202,0.038477867,0.039676386,0.060874265,0.052417765,0.011858641,0.025983311,0.074773938,0,0,preLUCA,4,0.991898743,0.141905045,0.501651246,112,132.4634756
CL0361,0.100309537,0.057023133,0.030901812,0.04635419,0.022060267,0.065371003,0.029798882,0.051079719,0.036380846,0.044230303,0.094248655,0.080994764,0.024742169,0.017903892,0.066364181,0.068178023,0.049622599,0.006456247,0.040762607,0.067217173,0,0,modern,NA,0.725268025,0.0921633,0.454069574,120,81.0604333
PF00101,0.073473938,0.069841049,0.0361995,0.059280787,0.01808482,0.072598063,0.057489226,0.055070617,0.026883379,0.061749161,0.072488579,0.030924346,0.024026834,0.042360482,0.054433618,0.060385584,0.050591713,0.024624021,0.047327089,0.062167193,0,0,modern,1,0.990987191,0.179425,0.469811542,96,92.77469991
CL0031,0.10156785,0.064184084,0.033599442,0.064518279,0.016358212,0.068475285,0.035090293,0.075136742,0.02907091,0.056928954,0.09461131,0.046380191,0.022329447,0.032212254,0.042992616,0.052014388,0.050906162,0.012877666,0.027606822,0.073139094,1.44945E-07,0,preLUCA,3,0.879554067,0.1762727,0.502462371,95,105.6089895
CL0046,0.122615313,0.048995269,0.031299404,0.057321415,0.014590166,0.057983394,0.033165713,0.095344792,0.022619239,0.056607574,0.091410975,0.037773856,0.024665203,0.0350666,0.044535833,0.065635991,0.055081653,0.00961637,0.025696716,0.069974524,0,0,preLUCA,2,0.842738489,0.164834577,0.520887147,121,156.4454043
CL0486,0.076907765,0.057351879,0.032558183,0.061932543,0.058481705,0.067486748,0.035086976,0.091755456,0.021297977,0.056154455,0.077417187,0.042491385,0.029782838,0.028809567,0.050455182,0.046320565,0.059225898,0.006801586,0.020933877,0.078748231,0,0,preLUCA,5,0.793480095,0.1849179,0.50711299,73,71.7086765
