ancestor,pfamIDs,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,U,O,median_PfamLen,mean_PfamLen,concat_length,Clans,avg_clustering_allPhases,avg_clustering_trunc,avg_transfer,phylostrata_age,GC_content
LBCA,Domain1,0.095773998,0.051432723,0.034840642,0.053961938,0.008023638,0.074846654,0.04211419,0.06925015,0.014160461,0.069837957,0.103541125,0.05276501,0.020436383,0.038190991,0.043216889,0.06616566,0.046903769,0.005389725,0.024272458,0.084875641,0,0,326,272.8648097,2674348,CL0192,0.766421227,0.755436685,0.0818545,postLUCA,0.464563866
LBCA,Domain2,0.085502484,0.092217365,0.043011161,0.045432009,0.008355341,0.078744599,0.034676057,0.074448037,0.015062633,0.078725627,0.087059466,0.049483198,0.019323781,0.0472331,0.048792611,0.054962359,0.035529804,0.001725202,0.031305335,0.068409829,0,0,82,80.70143922,790632,CL0192,0.818447759,0.82833141,0.1051416,postLUCA,0.472166629
LUCA,PF00004,0.095908015,0.067168046,0.032054192,0.060398605,0.006165724,0.073948638,0.02569274,0.094628675,0.012936831,0.074593435,0.103185936,0.051203469,0.022588152,0.042032429,0.041525679,0.049914515,0.050546943,0.00331685,0.016788951,0.075402171,0,0,130,122.4272813,15603357,CL0023,0.962510506,0.925709281,0.149785,LUCA,0.488433391
preLUCA,PF00005,0.08251391,0.068995211,0.033324723,0.055117787,0.006878659,0.065973124,0.039874991,0.096770531,0.016487938,0.059600488,0.124609477,0.047827578,0.023246911,0.032686387,0.045661851,0.058935597,0.049952175,0.004898799,0.018068681,0.068575179,0,0,148,147.202597,128861595,CL0023,0.875514985,0.848630877,0.6396425,preLUCA,0.47325356
LBCA,PF00006,0.098875383,0.063149842,0.028555783,0.056087781,0.005832165,0.06352193,0.03115095,0.092352138,0.014542701,0.075349225,0.089055272,0.039138549,0.026993933,0.033752639,0.047002481,0.063219076,0.061296343,0.00288364,0.029422288,0.077817882,0,0,214,212.2819234,11959539,CL0023,0.926168354,0.881889495,0.06341565,postLUCA,0.50750806
preLUCA,PF00009,0.090150809,0.047271538,0.034323707,0.075399597,0.00882842,0.075259692,0.032931198,0.074456413,0.028270082,0.078470734,0.086018919,0.054122731,0.025952534,0.031008082,0.037211513,0.042425709,0.063373628,0.006687295,0.022370915,0.085466483,0,0,193,204.3818873,21714758,CL0023,0.950852272,0.948034126,0.088468,preLUCA,0.471622169
LUCA,PF00011,0.069255266,0.070641135,0.034182586,0.072678453,0.003414151,0.110040652,0.028682237,0.05814572,0.017249431,0.071332427,0.078437574,0.080126987,0.011246736,0.029719791,0.044385607,0.053017511,0.053721946,0.002291572,0.026456385,0.084973833,0,0,97,94.95214509,2434573,CL0190,0.929936998,0.913343132,0.117805,LUCA,0.445507476
LBCA,PF00012,0.102191282,0.047428366,0.033950084,0.07399133,0.004259106,0.082438896,0.041330727,0.078762282,0.01224943,0.067445713,0.084980125,0.069489481,0.018899962,0.02723576,0.037952665,0.052075499,0.066288034,0.00299832,0.015513916,0.080519022,0,0,498,395.7388453,13277434,CL0108,0.869767493,0.883236361,0.09732555,postLUCA,0.477421856
LUCA,PF00013,0.072096411,0.060560519,0.032926879,0.072716229,0.004047042,0.094253055,0.025075618,0.106232299,0.005620649,0.154901806,0.039332872,0.07502122,0.016096289,0.012005495,0.033585344,0.044875497,0.063324175,0.00172528,0.006613814,0.078989508,0,0,56,52.16920911,1371372,CL0007,0.730283141,0.74038987,0.0613964,LUCA,0.460003176
LBCA,PF00015,0.157204553,0.04724019,0.047550225,0.046691786,0.001024261,0.100161236,0.070200714,0.061557262,0.01112706,0.083801703,0.059192349,0.035857944,0.021260852,0.012153374,0.000458747,0.08718198,0.067329438,0.000113611,0.002196354,0.08769636,0,0,158,159.8252805,10227859,PF00015,0.835133849,0.838385834,0.1887215,postLUCA,0.499725839
LUCA,PF00016,0.104181918,0.056870383,0.030648342,0.057209703,0.010884957,0.063509833,0.028262415,0.103810537,0.036303674,0.059372979,0.089159217,0.057729816,0.033363792,0.031995825,0.042602914,0.040083396,0.04714232,0.012903956,0.023918941,0.070045082,0,0,281,262.5898036,1122834,CL0036,0.842962588,0.836828893,0.1756175,LUCA,0.516856633
LBCA,PF00023,0.137794285,0.040142575,0.060192895,0.071958306,0.014646858,0.043293596,0.025837177,0.077876954,0.036769904,0.047151501,0.143569161,0.045270473,0.020817109,0.013460732,0.044611514,0.035062601,0.054412029,0.007128737,0.021224465,0.058779129,0,0,31,31.92388602,166930,CL0465,1.198309583,0.972295328,0.478139,postLUCA,0.513585079
Proteobacteria,PF00024,0.095297635,0.048219625,0.053329709,0.101114433,0.075020386,0.036314216,0.043979342,0.050448491,0.004512096,0.021147051,0.067409622,0.059037782,0.006795325,0.074096222,0.024082631,0.071269367,0.083283501,0.010491982,0.034574613,0.039575972,0,0,54,53.47383721,18395,CL0168,0.753211579,0.765803566,0.1207235,modern,0.471986022
unclassifiable,PF00025,0.057780007,0.044920603,0.045384025,0.063603006,0.005531962,0.063097048,0.035226797,0.064478359,0.014462352,0.08194288,0.103421488,0.077402687,0.019998791,0.054356951,0.037496894,0.058084477,0.06050457,0.011863158,0.028031441,0.072412504,0,0,151,144.6024603,446677,CL0023,0.89070047,0.84364833,0.07086365,unclassifiable,0.454480018
LBCA,PF00027,0.073275841,0.055403588,0.029168671,0.054706732,0.014710497,0.083219284,0.036079882,0.080079873,0.019788804,0.066519663,0.098333578,0.052175192,0.018426138,0.054407148,0.031280793,0.060841791,0.054349208,0.007019773,0.036524414,0.073689129,0,0,86,84.51435591,5057001,CL0029,0.875699819,0.874121587,0.2464805,postLUCA,0.456368778
LBCA,PF00028,0.10770773,0.016306362,0.060184305,0.092165275,0.000473816,0.048893301,0.026221043,0.083946017,0.007668084,0.060177858,0.059091627,0.015355507,0.003671268,0.037731227,0.024374128,0.096313582,0.140558974,0.00171154,0.02405825,0.093390105,0,0,85,84.23757806,310247,CL0159,0.896822649,0.902505546,0.4702845,postLUCA,0.487809736
unclassifiable,PF00030,0.051649052,0.072521111,0.053720325,0.082426045,0.017446492,0.042354878,0.025705029,0.095544107,0.01837591,0.058420522,0.062031972,0.028174624,0.010064263,0.062987944,0.031653301,0.090658028,0.038371661,0.022730894,0.057597323,0.07756652,0,0,79,77.48559671,37658,CL0333,0.636737531,0.629844834,0.2671125,unclassifiable,0.46050885
LBCA,PF00032,0.094178599,0.037876836,0.019323076,0.02845732,0.005153311,0.02154084,0.015697353,0.070359259,0.010083925,0.076090477,0.126765929,0.033559097,0.026142011,0.083978724,0.08565171,0.043679832,0.048689587,0.036640041,0.049190194,0.086941878,0,0,95,95.40649693,543340,PF00032,1.22626857,1.282873972,0.07944545,postLUCA,0.471622576
