"","PFAM_IDs","p_A","p_R","p_N","p_D","p_C","p_Q","p_E","p_G","p_H","p_I","p_L","p_K","p_M","p_F","p_P","p_S","p_T","p_W","p_Y","p_V","Conserved_length"
"2","PF19528",0.0947717391304348,1.73913043478261e-06,0.0434804347826087,0,0.0033404347826087,6.95652173913044e-06,1.30434782608696e-06,9.1304347826087e-06,2.60869565217391e-06,0.055014347826087,0.319649565217391,1.30434782608696e-06,0.0255378260869565,0.0618595652173913,1e-05,0.00718826086956522,0.0167552173913043,0.0434782608695652,0.0435134782608696,0.285377826086957,23
"3","PF19530",0.0679756818181818,0.00170022727272727,0.00131477272727273,0.0233775,0.00181090909090909,0.0151745454545455,0.0238488636363636,0.0134195454545455,0.00414704545454545,0.116910681818182,0.282404090909091,0.0240581818181818,0.0259836363636364,0.102231136363636,0.0237768181818182,0.0224338636363636,0.0733593181818182,0.0037525,0.0467447727272727,0.125575454545455,44
"4","PF19540",0.0649823275862069,0.014055775862069,0.00698646551724138,0.0140393103448276,0.000435172413793103,0.019481724137931,0.0168694827586207,0.0902550862068966,0.0191001724137931,0.149893189655172,0.200464827586207,0.0162650862068966,0.0190593103448276,0.107778017241379,0.0267329310344828,0.0240381896551724,0.0370790517241379,0.0362263793103448,0.0505175,0.0857340517241379,116
"5","PF19545",0.118605490196078,0.0584327450980392,0.0066378431372549,0.0306341176470588,0.00283960784313725,0.00457666666666667,0.00794098039215686,0.0740407843137255,0.00256549019607843,0.0776639215686275,0.212629607843137,0.0133005882352941,0.0152990196078431,0.0518349019607843,0.0854611764705882,0.0412996078431373,0.0456774509803922,0.0262821568627451,0.0169541176470588,0.107323529411765,51
"6","PF19558",0.0185154285714286,0.0998137142857143,0.00483285714285714,0.00307085714285714,0.00339657142857143,0.0256337142857143,0.006218,0.048272,0.00691657142857143,0.0943302857142857,0.250508857142857,0.0237208571428571,0.0333348571428571,0.127348,0.0183871428571429,0.0397797142857143,0.011056,0.064738,0.0669574285714286,0.0531688571428571,35
"7","PF19572",0.0944688607594937,0.0361821518987342,0.0487169620253165,0.0542340506329114,0.000178227848101266,0.000114050632911392,0.0132045569620253,0.107826202531646,0.000290632911392405,0.0774888607594937,0.133487341772152,0.0256617721518987,0.00421354430379747,0.0392139240506329,0.0510354430379747,0.0987626582278481,0.0433077215189873,9.11392405063291e-06,0.116655443037975,0.0549412658227848,79
"8","PF19573",0.0616347887323944,0.0422104225352113,0.0153525352112676,1.61971830985916e-05,0.000281408450704225,3.46478873239437e-05,0.0422580281690141,0.121224507042254,0.00013943661971831,0.0846640845070423,0.0759912676056338,0.0141553521126761,0.021840985915493,0.178397183098592,0.0282164788732394,0.0563376056338028,0.0671998591549296,3.70422535211268e-05,0.118108309859155,0.0718970422535211,71
"9","PF19577",0.127005970149254,0.0293916417910448,0.0760580597014925,0.0795729850746269,0.000891194029850746,0.0231767164179104,0.0370622388059701,0.0912970149253731,0.0149932835820896,0.0503779104477612,0.0879423880597015,0.0295953731343284,0.0316389552238806,0.0674305970149254,0.0179622388059702,0.0657846268656716,0.102449850746269,0.0149664179104478,0.0185005970149254,0.0338980597014925,67
"10","PF19578",0.0714278571428571,0,0,0,0,0.0714285714285714,0,0.0714285714285714,0,0.428065714285714,0.214275714285714,0,1e-05,5e-06,0,7.14285714285714e-07,0,0,0,0.143356428571429,14
"11","PF19579",0.18629625,1.875e-05,0.063031875,0.000121875,2.4375e-05,2.5e-05,0.06238375,0.00023375,0.093726875,0.129355,0.194994375,3.125e-06,0.00059375,0.173859375,6.25e-07,0.06289625,0.0001175,1e-05,0.031016875,0.001286875,16
"12","PF19588",0.113825,0.0347446428571429,3.64285714285714e-05,3.57142857142857e-06,0.000421071428571429,2.78571428571429e-05,7.5e-06,0.000706071428571429,6.78571428571429e-06,0.266179642857143,0.239335714285714,7.85714285714286e-05,0.00435142857142857,0.0787771428571429,0.0713507142857143,0.0185842857142857,0.0416360714285714,0.03572,0.00102928571428571,0.0931739285714286,28
"13","PF19589",0.0957761363636364,0.0003075,0.00151272727272727,4.68181818181818e-05,0.0241190909090909,0.000268636363636364,7.27272727272727e-05,0.106795909090909,0.0178515909090909,0.229579772727273,0.160386363636364,0.0453670454545455,0.0508663636363636,0.0899811363636364,0.0461702272727273,0.0310395454545455,0.00952431818181818,0.00186636363636364,0.0520852272727273,0.0363784090909091,44
"14","PF19606",0.0795085365853659,7.53658536585366e-05,0.000337073170731707,0.000272682926829268,0.000236585365853659,0.0228378048780488,0.000955609756097561,0.0723948780487805,0.00104121951219512,0.117575365853659,0.318280975609756,5.8780487804878e-05,0.00747536585365854,0.0766339024390244,0.0244314634146341,0.0239531707317073,0.00171170731707317,0.0246836585365854,0.0491607317073171,0.178370975609756,41
"15","PF19607",0.317940869565217,4.78260869565217e-06,5.21739130434783e-06,1.73913043478261e-06,0.00022304347826087,2e-05,1.56521739130435e-05,0.0959834782608696,3.47826086956522e-06,0.00903913043478261,0.262395652173913,5.65217391304348e-06,0.00386173913043478,0.0405378260869565,1.47826086956522e-05,0.000503478260869565,0.046784347826087,3.08695652173913e-05,0.000413478260869565,0.222205652173913,23
"16","PF19608",0.166464459459459,0.0109031081081081,0.000315540540540541,0.000188243243243243,0.00241986486486486,0.00129594594594595,0.00045,0.127014594594595,0.0134606756756757,0.0683385135135135,0.195053513513514,0.00050054054054054,0.0197922972972973,0.0334914864864865,0.0324409459459459,0.00637081081081081,0.0162912162162162,0.0316512162162162,0.0208021621621622,0.252749594594595,74
"17","PF19609",0.07522890625,9.78125e-05,0.0001375,5.296875e-05,0.01374375,0.0001521875,0.00010796875,0.1748725,0.00011125,0.17746765625,0.2592359375,6.734375e-05,0.0289009375,0.0501459375,0.01571921875,0.0242459375,0.002755,0.04584609375,0.00365890625,0.12744765625,64
"18","PF19617",0.109422142857143,0.00586571428571429,0.000332571428571429,0.0573541428571429,0.0152275714285714,0.002728,0.000265571428571429,0.0296857142857143,0.0715701428571428,0.110360428571429,0.277531,0.000336142857142857,0.0452368571428571,0.0453632857142857,0.0287281428571429,0.00977985714285714,0.0362112857142857,0.0434138571428571,0.025097,0.0854862857142857,70
"19","PF19621",0.107063043478261,0.0434830434782609,7.82608695652174e-06,4.34782608695652e-07,0.000209130434782609,7.39130434782609e-06,8.69565217391304e-07,0.0435139130434783,0.0435452173913044,0.109583043478261,0.159229130434783,1.30434782608696e-06,0.00118260869565217,0.213307391304348,2.17391304347826e-06,0.000191739130434783,0.00237086956521739,0.0416734782608696,0.0485065217391304,0.186117826086957,23
"20","PF19626",0.037037037037037,0,0,0,0,0,0,0.185185185185185,0,0.370090740740741,0.259261481481481,0,3.7037037037037e-06,0,0,0,0,0.037037037037037,0,0.111384814814815,27
"21","PF19628",0.103355517241379,0,0.0342386206896552,1.37931034482759e-06,3.79310344827586e-06,3.10344827586207e-06,0,0.20696275862069,0.0342586206896552,0.127759655172414,0.146784137931034,3.44827586206897e-07,0.0355027586206897,0.0371831034482759,0,0.0345248275862069,0.034698275862069,1.03448275862069e-06,0.138396206896552,0.0663227586206897,29
"22","PF19629",0.148897619047619,7.19047619047619e-05,5.66666666666667e-05,3.80952380952381e-06,0.000131428571428571,0.000234285714285714,2.33333333333333e-05,0.0953071428571429,2.23809523809524e-05,0.14585380952381,0.282421904761905,0.0478009523809524,0.0331809523809524,7e-05,4.33333333333333e-05,0.0513152380952381,0.0294347619047619,1.42857142857143e-06,0.0476228571428571,0.11750380952381,21
"23","PF19638",0.0750811428571429,0.00211285714285714,0.00536114285714286,0.00314542857142857,0.00258457142857143,0.0530911428571429,0.00107628571428571,0.0437108571428571,0.000769142857142857,0.246764571428571,0.259505142857143,0.00273028571428571,0.0192382857142857,0.116982857142857,0.000276,0.0114417142857143,0.00258085714285714,0.0439568571428571,0.0232628571428571,0.0863268571428571,35
"24","PF19650",0.276104615384615,3.84615384615385e-06,2.92307692307692e-05,4.61538461538462e-06,8.30769230769231e-05,1.61538461538462e-05,1.15384615384615e-05,0.0900215384615385,0.0769269230769231,0.0287223076923077,0.30824,3.84615384615385e-06,0.0786107692307692,0.00185538461538462,1e-05,0.00579384615384615,0.0119207692307692,1.53846153846154e-06,8.46153846153846e-06,0.121630769230769,13
"25","PF19656",0.138355,0.021077619047619,0.00181761904761905,2.73809523809524e-06,0.000201785714285714,0.00538321428571429,7.85714285714286e-06,0.0896205952380952,0.000138452380952381,0.173423571428571,0.17135869047619,0.000433571428571429,0.0281996428571429,0.10519869047619,1.17857142857143e-05,0.0365521428571429,0.018830119047619,0.0238152380952381,0.0476604761904762,0.137907380952381,84
"26","PF19660",0.144679722222222,0.0277170833333333,0.000212222222222222,0.0138284722222222,0.000672361111111111,0.0277148611111111,0.000171388888888889,0.0424379166666667,0.0418034722222222,0.0969545833333333,0.172688055555556,0.000105694444444444,0.0393102777777778,0.0456268055555556,0.0135927777777778,0.01226375,0.0519152777777778,0.0708316666666667,0.03884875,0.158621944444444,72
"27","PF19661",0.101101666666667,0.0433927777777778,0.000386666666666667,0.000121111111111111,0.00208166666666667,0.00184333333333333,0.000352222222222222,0.000152777777777778,0.00044,0.209373333333333,0.266576666666667,0.002455,0.00623111111111111,0.0599977777777778,0.0556283333333333,0.0595344444444444,0.00568722222222222,0.000859444444444444,0.0507422222222222,0.133034444444444,18
"28","PF19665",0.0192145714285714,0.00395814285714286,0.0378404285714286,0.0284924285714286,0.0245461428571429,0.0264605714285714,0.0505605714285714,0.00175042857142857,0.0188765714285714,0.165601,0.175294428571429,0.0818345714285714,0.0201525714285714,0.150960571428571,0.0138044285714286,0.0629204285714286,0.00897914285714286,0.000438571428571429,0.0327561428571429,0.075555,70
"29","PF19700",0.0694203883495146,0.0106714563106796,0.0253892233009709,0.0199374757281553,0.0205997087378641,0.0198668932038835,7.86407766990291e-05,0.0681601941747573,0.000565631067961165,0.195418446601942,0.197590388349515,0.00855893203883495,0.0365891262135922,0.115266796116505,0.000879708737864078,0.0561117475728155,0.0228172815533981,0.00968912621359223,0.0189139805825243,0.103470582524272,103
"30","PF19728",0.0794272413793103,0.0329586206896552,0.000272068965517241,9.37931034482759e-05,0.00257068965517241,0.0353658620689655,0.00026551724137931,0.0016451724137931,0.000603103448275862,0.142823448275862,0.367312068965517,0.0014951724137931,0.0414951724137931,0.110636896551724,0.0345496551724138,0.014798275862069,0.00584172413793104,0.0548206896551724,0.00777655172413793,0.0652468965517241,29
"31","PF19732",0.12738753164557,0.00288727848101266,0.00577620253164557,6.07594936708861e-06,0.004915,0.00115094936708861,0.00635601265822785,0.0943662658227848,0.00679949367088608,0.13767835443038,0.263406582278481,0.00530044303797468,0.0322856329113924,0.102645759493671,0.0126848101265823,0.0165543670886076,0.0227053164556962,0.000430822784810127,0.0183363924050633,0.138322278481013,158
"32","PF19733",0.18645,3.39285714285714e-06,6.07142857142857e-06,3.57142857142857e-06,6.14285714285714e-05,8.75e-06,7.67857142857143e-06,0.208661428571429,0.0178582142857143,0.0461125,0.230635178571429,2.67857142857143e-06,0.00273410714285714,0.000184642857142857,6.96428571428571e-06,0.000340535714285714,0.00240517857142857,0.0166666071428571,3.03571428571429e-06,0.287844464285714,56
"33","PF19744",0.184273125,0.000346875,0.000894375,0.000705625,0.001515625,0.00077,0.000845,0.173476875,0.000620625,0.152010625,0.20384,0.000261875,0.012525625,0.052205,0.00211625,0.01699625,0.00329875,0.001021875,0.021295625,0.170983125,16
