ancestor,pfamIDs,Clans,avg_transfer
LBCA,Domain1,CL0192,0.0818545
LBCA,Domain2,CL0192,0.1051416
LUCA,PF00004,CL0023,0.149785
preLUCA,PF00005,CL0023,0.6396425
LBCA,PF00006,CL0023,0.06341565
preLUCA,PF00009,CL0023,0.088468
LUCA,PF00011,CL0190,0.117805
LBCA,PF00012,CL0108,0.09732555
LUCA,PF00013,CL0007,0.0613964
LBCA,PF00015,PF00015,0.1887215
LUCA,PF00016,CL0036,0.1756175
LBCA,PF00023,CL0465,0.478139
Proteobacteria,PF00024,CL0168,0.1207235
unclassifiable,PF00025,CL0023,0.07086365
LBCA,PF00027,CL0029,0.2464805
LBCA,PF00028,CL0159,0.4702845
unclassifiable,PF00030,CL0333,0.2671125
LBCA,PF00032,PF00032,0.07944545
LBCA,PF00033,CL0328,0.08061235
LBCA,PF00034,CL0318,0.22399
LBCA,PF00035,CL0196,0.090511
LBCA,PF00036,CL0220,0.2707605
LUCA,PF00037,CL0344,0.238813
LUCA,PF00041,CL0159,0.376281
LBCA,PF00042,CL0090,0.165187
unclassifiable,PF00043,CL0497,0.352406
LBCA,PF00044,CL0063,0.140747
LBCA,PF00045,PF00045,0.24367575
LBCA,PF00050,CL0005,0.285419
unclassifiable,PF00056,CL0063,0.1045987
LBCA,PF00059,CL0056,0.2504175
LBCA,PF00060,CL0030,0.2107125
LUCA,PF00067,PF00067,0.3396335
LUCA,PF00069,CL0016,0.197246
unclassifiable,PF00070,CL0063,0.2264845
LACA,PF00071,CL0023,0.146505
preLUCA,PF00072,CL0304,0.3841635
post-LBCA,PF00075,CL0219,0.1429145
LBCA,PF00076,CL0221,0.1320215
LBCA,PF00078,CL0027,0.50936
LBCA,PF00079,PF00079,0.1572585
LBCA,PF00080,PF00080,0.144786
LUCA,PF00081,PF00081,0.135893
LUCA,PF00082,PF00082,0.27758
LUCA,PF00083,CL0015,0.3707765
LUCA,PF00085,CL0172,0.1140975
LBCA,PF00089,CL0124,0.3553815
LACA,PF00091,CL0063,0.05262815
LUCA,PF00092,CL0128,0.188864
unclassifiable,PF00096,CL0361,0.1040485
post-LBCA,PF00101,PF00101,0.179425
unclassifiable,PF00102,CL0031,0.2041425
LUCA,PF00106,CL0063,0.4182315
preLUCA,PF00107,CL0063,0.36559
LUCA,PF00108,CL0046,0.161394
LBCA,PF00109,CL0046,0.1706525
LUCA,PF00111,CL0486,0.244857
LUCA,PF00112,CL0125,0.246748
LACA,PF00113,CL0036,0.0833218
Proteobacteria,PF00114,CL0327,0.456924
LBCA,PF00115,CL0714,0.126459
unclassifiable,PF00116,CL0026,0.1088215
preLUCA,PF00117,CL0014,0.1038885
post-LBCA,PF00118,PF00118,0.02686985
post-LBCA,PF00119,PF00119,0.0949258
LBCA,PF00120,CL0286,0.09445275
LACA,PF00121,CL0036,0.0704037
LUCA,PF00122,PF00122,0.2170235
post-LBCA,PF00124,PF00124,0.1969275
LBCA,PF00126,CL0123,0.30081
LUCA,PF00127,CL0026,0.1831315
LUCA,PF00128,CL0036,0.2646085
LUCA,PF00132,CL0536,0.334893
preLUCA,PF00133,CL0039,0.0528883
post-LBCA,PF00135,CL0028,0.3078105
LUCA,PF00136,CL0194,0.06795315
LBCA,PF00137,PF00137,0.1003584
LBCA,PF00140,PF00140,0.05797045
unclassifiable,PF00141,CL0617,0.292632
unclassifiable,PF00142,CL0023,0.14439
LUCA,PF00144,CL0013,0.3590465
LUCA,PF00145,CL0063,0.452287
LUCA,PF00146,CL0425,0.1006398
LBCA,PF00148,CL0043,0.2488335
preLUCA,PF00149,CL0163,0.20619
LUCA,PF00150,CL0036,0.387112
LUCA,PF00152,CL0040,0.06453315
unclassifiable,PF00154,CL0023,0.06013345
preLUCA,PF00155,CL0061,0.1798375
LUCA,PF00156,CL0533,0.119316
LBCA,PF00158,CL0023,0.12585
post-LBCA,PF00160,CL0475,0.124736
LACA,PF00162,PF00162,0.0695302
unclassifiable,PF00163,CL0492,0.061979
LACA,PF00164,CL0021,0.06334605
LBCA,PF00165,CL0123,0.65717
LBCA,PF00166,CL0296,0.0849377
